Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 4, 40.0, 1.00
Query 2, 6, 60.0, 0.57
Query 3, 4, 40.0, -2.80
Query 4, 7, 70.0, -1.00
Query 5, 0, 0.0, 0.00
Query 6, 0, 0.0, 0.00
Query 7, 5, 50.0, 0.50
Query 8, 8, 80.0, 0.79
Query 9, 2, 20.0, -48.00
Query 10, 0, 0.0, 0.00
Query 11, 6, 60.0, 0.11
Query 12, 0, 0.0, 0.00
Query 13, 0, 0.0, 0.00
Query 14, 0, 0.0, 0.00
Query 15, 7, 70.0, 0.07
Query 16, 4, 40.0, 0.90
Query 17, 0, 0.0, 0.00
Query 18, 0, 0.0, 0.00
Query 19, 5, 50.0, 0.15
Query 20, 1, 10.0, 1.00
Query 21, 6, 60.0, 0.40
Query 22, 2, 20.0, -8.00
Query 23, 9, 90.0, 0.82
Query 24, 4, 40.0, -6.40
Query 25, 2, 20.0, -9.00
Query 26, 6, 60.0, 0.69
Query 27, 4, 40.0, 0.20
Query 28, 0, 0.0, 0.00
Query 29, 9, 90.0, 0.33
Query 30, 6, 60.0, 0.17
Query 31, 3, 30.0, 0.50
Query 32, 0, 0.0, 0.00
Query 33, 1, 10.0, 1.00
Query 34, 0, 0.0, 0.00
Query 35, 0, 0.0, 0.00
Query 36, 5, 50.0, -1.10
Query 37, 2, 20.0, -3.00
Query 38, 0, 0.0, 0.00
Query 39, 0, 0.0, 0.00
Query 40, 0, 0.0, 0.00
Query 41, 7, 70.0, 0.41
Query 42, 3, 30.0, -1.00
Query 43, 0, 0.0, 0.00
Query 44, 6, 60.0, -0.74
Query 45, 0, 0.0, 0.00
Query 46, 6, 60.0, 0.43
Query 47, 2, 20.0, -8.00
Query 48, 3, 30.0, -4.00
Query 49, 4, 40.0, -7.20
Query 50, 0, 0.0, 0.00
Query 51, 4, 40.0, 0.60
Query 52, 2, 20.0, -7.00
Query 53, 0, 0.0, 0.00
Query 54, 7, 70.0, 0.41
Query 55, 5, 50.0, 0.00
Query 56, 6, 60.0, 0.20
Query 57, 4, 40.0, 0.40
Query 58, 0, 0.0, 0.00
Query 59, 3, 30.0, -2.50
Query 60, 5, 50.0, -0.15
Query 61, 2, 20.0, -9.00
Query 62, 0, 0.0, 0.00
Query 63, 6, 60.0, 0.86
Query 64, 0, 0.0, 0.00
Query 65, 6, 60.0, 0.34
Query 66, 6, 60.0, 0.00
Query 67, 2, 20.0, 1.00
Query 68, 6, 60.0, -0.03
Query 69, 0, 0.0, 0.00
Query 70, 0, 0.0, 0.00
Query 71, 0, 0.0, 0.00
Query 72, 4, 40.0, -5.50
Query 73, 6, 60.0, -0.34
Query 74, 6, 60.0, -0.51
Query 75, 6, 60.0, 0.20
Query 76, 4, 40.0, 0.30
Query 77, 0, 0.0, 0.00
Query 78, 0, 0.0, 0.00
Query 79, 6, 60.0, 0.94
Query 80, 7, 70.0, 0.30
Query 81, 2, 20.0, -72.00
Query 82, 8, 80.0, 0.62
Query 83, 0, 0.0, 0.00
Query 84, 2, 20.0, -44.00
Query 85, 2, 20.0, -88.00
Query 86, 4, 40.0, -0.20
Query 87, 0, 0.0, 0.00
Query 88, 4, 40.0, -3.70
Query 89, 4, 40.0, -1.90
Query 90, 1, 10.0, 1.00
Query 91, 5, 50.0, -1.05
Query 92, 0, 0.0, 0.00
Query 93, 7, 70.0, 0.86
Query 94, 4, 40.0, 0.50
Query 95, 0, 0.0, 0.00
Query 96, 0, 0.0, 0.00
Query 97, 0, 0.0, 0.00
Query 98, 4, 40.0, -1.80
Query 99, 6, 60.0, -0.26
Query 100, 4, 40.0, -4.50
Averages, 3.09, 30.9, -3.24
